,"US1MT=RR,Bid Yield, ","US1MT=RR,Volatility,1 个月","US1MT=RR,Volatility,2 个月","US1MT=RR,Volatility,3 个月","US1MT=RR,Volatility,6 个月","US1MT=RR,Volatility,1 年","US1MT=RR,Volatility,23 天数"
2019/7/30,2.075,21.7298150712529,23.2317724318927,19.9946380182769,16.5391897572368,17.9488119551668,21.7298150712529
2019/7/29,2.121,20.4728982064438,22.7463379518086,19.6895592205464,16.4850781800028,17.8189286098062,20.4728982064438
2019/7/26,2.144,20.1704817089153,22.7019700347967,19.6501626760953,16.4531076368165,17.7846144759656,20.1704817089153
2019/7/25,2.102,20.1298744831039,22.2396354441551,19.1762430691959,16.2014347353492,17.6825708941624,20.1298744831039
2019/7/24,2.082,22.1834267541763,22.0350368147431,19.0324215239907,16.1390879375627,17.6950139341609,22.1834267541763
2019/7/23,2.11,22.998893969819,21.8897892143756,18.9140059121545,16.0521309556649,17.7016070126768,22.998893969819
2019/7/22,2.121,23.6611196604555,21.9033769740095,19.1132205979878,16.0474305393508,17.7603467816964,23.6611196604555
2019/7/19,2.123,24.0868098649325,21.9151138343424,19.1185162195402,16.0481584314206,17.9663343810917,24.0868098649325
2019/7/18,2.105,23.8166234983054,22.1769999012778,18.9990757770047,15.9922420841812,18.0900082459879,23.8166234983054
2019/7/17,2.133,25.0038364037297,22.2641266038739,18.8953128592674,15.9581557708555,18.9214795338632,25.0038364037297
2019/7/16,2.1664,24.4861858306935,22.0440301788657,18.6977308545777,15.8259194506496,18.8531248903696,24.4861858306935
2019/7/15,2.174,27.4627949237753,22.0429166772861,18.7475071834131,15.8253811802491,18.9055556473681,27.4627949237753
2019/7/12,2.161,27.8313408677143,21.9520125265736,18.6915105619077,15.8035610529164,18.9211170509655,27.8313408677143
2019/7/11,2.164,27.8597395451152,22.0376941540244,18.7026413543069,15.8033768000263,18.9367855973852,27.8597395451152
2019/7/10,2.184,28.2370736281266,21.9769130908626,18.6452333062374,16.1853794760496,19.0879220536666,28.2370736281266
2019/7/9,2.223,27.7324988907809,21.6541212062014,18.3665919237732,16.1943462427359,19.0537697814231,27.7324988907809
2019/7/8,2.233,28.1807278158499,21.6517603848425,18.424365678895,16.3471988453775,19.0492411060431,28.1807278158499
2019/7/5,2.258,28.0105639928601,21.5336327938333,18.3166330834827,16.3190766770764,19.0364459500973,28.0105639928601
2019/7/3,2.235,27.7379117787604,21.5223664878304,18.173907042472,17.0448537570373,19.0141335124691,27.7379117787604
2019/7/2,2.212,27.4453054381864,21.3117209565075,18.0217446934176,17.5461335690161,19.001092146235,27.4453054381864
2019/7/1,2.177,26.7973529453624,20.8416374921177,17.7219055627623,17.3898988180652,18.9637532507155,26.7973529453624
2019/6/28,2.182,26.7964103375706,20.8930277275181,18.158858700765,17.3922446530233,18.9908301934628,26.7964103375706
2019/6/27,2.105,23.1351532559167,18.7336973800596,16.7435406466339,16.6114608372598,18.6847851947186,23.1351532559167
2019/6/26,2.103,23.5818601721791,18.793173659806,16.7464567047101,16.9605216180798,18.7053786276153,23.5818601721791
2019/6/25,2.11,23.581321929859,18.8380477941244,16.7691585786124,17.0124226341984,18.8111283812278,23.581321929859
2019/6/24,2.118,23.5786271315258,18.8388871956872,16.8449550986559,17.0457808563926,18.8074356052853,23.5786271315258
2019/6/21,2.161,22.9988294955895,18.377028890459,16.6027456223628,16.8467917720373,18.7742287686824,22.9988294955895
2019/6/20,2.1,19.9757953752487,17.0588276547718,15.416734425596,17.3279238000382,18.7350403790322,19.9757953752487
2019/6/19,2.148,20.2459389703361,16.3751015823618,14.9071773721307,17.0492047976254,18.609068195838,20.2459389703361
2019/6/18,2.187,20.0963515857904,15.9371670869276,14.5708986559069,16.8700325475327,18.5275860595521,20.0963515857904
2019/6/17,2.22,19.743014314933,15.6787035203246,14.3451816175817,16.9241592863841,18.4797127856002,19.743014314933
2019/6/14,2.228,19.7498942008854,15.6763885299045,14.448888634239,16.9575812448372,18.4926315840462,19.7498942008854
2019/6/13,2.176,17.3650633624096,14.4660173002794,13.6592479180776,16.7310785925636,18.6777031691481,17.3650633624096
2019/6/12,2.179,17.6594624069263,14.4850990741155,13.6592342449447,16.7929677993499,18.6826225885834,17.6594624069263
2019/6/11,2.263,13.3905785384742,11.5390144091418,11.5789874067527,16.1658617070603,18.4365574076622,13.3905785384742
2019/6/10,2.304,12.3719273279895,10.8128996898359,11.078105601298,16.0155304981351,18.3950625679192,12.3719273279895
2019/6/7,2.32,12.2840870988478,10.7336431530815,11.2480804992227,15.9950472379938,19.2384813735754,12.2840870988478
2019/6/6,2.291,11.1982179684468,10.365720648161,10.9256805814615,15.897764024338,19.2550954753751,11.1982179684468
2019/6/5,2.301,11.9249979143672,10.3377245168899,10.9081842841054,17.1778014961212,19.2480018004445,11.9249979143672
2019/6/4,2.34,10.7849080047428,9.59240225429453,10.4279969036126,17.0076485430597,19.1860360986546,10.7849080047428
2019/6/3,2.348,10.8023738582894,9.57220061647789,10.4709323852554,17.0854705965616,19.1808566874162,10.8023738582894
2019/5/31,2.363,10.9431553717982,9.64547205383034,10.8693843906295,17.0727816416631,19.2314367486431,10.9431553717982
2019/5/30,2.357,11.1934593322893,10.6577719236713,10.8652501238843,17.3395029194206,19.2617589311544,11.1934593322893
2019/5/29,2.347,11.1857537154739,11.2339277130461,10.831364753801,17.3557281200852,19.2603163814992,11.1857537154739
2019/5/28,2.353,11.2357202492695,11.2968523264554,10.8238775123837,17.3594416764784,19.2700904591673,11.2357202492695
2019/5/24,2.373,11.0039463976604,11.1687674134333,10.7151716106939,17.3231217614504,19.2725091435678,11.0039463976604
2019/5/23,2.35,10.4330975960443,11.0976382179925,11.0822246615321,17.4346149425724,19.2650265745702,10.4330975960443
2019/5/22,2.358,11.3389344484792,11.3323707712996,11.1594021242034,17.4519889287995,19.2594119398317,11.3389344484792
2019/5/21,2.37,11.3185393384954,11.2894659408818,11.1194957812974,17.4631819086034,19.2496957891414,11.3185393384954
2019/5/20,2.386,11.1511907671266,11.2299584220563,11.1600083930639,17.4375051473107,19.2409562224723,11.1511907671266
2019/5/17,2.401,11.0460610470301,11.1518051321806,11.0974307101626,17.4540858936132,19.247211758399,11.0460610470301
2019/5/16,2.365,9.65942676948592,10.5152203337,10.6745648811843,17.3671527018705,19.5726046736996,9.65942676948592
2019/5/15,2.403,8.39534777867051,10.0240515657055,10.2008637979034,17.2819948597697,19.5022148703731,8.39534777867051
2019/5/14,2.414,8.25863497181311,10.144287297018,10.2443770975108,17.2915556099635,19.5332409564486,8.25863497181311
2019/5/13,2.419,8.40005071310154,10.1441424308795,10.2457352558732,17.3324310171782,19.5406464427616,8.40005071310154
2019/5/10,2.432,8.27724425201127,10.1199614922903,10.7339733329024,17.3237193856926,19.7218129208935,8.27724425201127
2019/5/9,2.419,8.1360042282505,10.03762053324,10.7033948000229,17.4138318983856,19.7553040994634,8.1360042282505
2019/5/8,2.424,8.42273013688006,10.3708179923472,10.707692810248,17.4259135390006,19.752889941188,8.42273013688006
2019/5/7,2.424,8.43360473369808,10.3727396914904,10.7851889802282,17.4334214054898,19.7741307734157,8.43360473369808
2019/5/6,2.434,8.3456305295694,10.3413195242944,10.7738179106952,17.5254042689411,19.7803873919418,8.3456305295694
2019/5/3,2.437,8.34567652211516,10.3491972501525,10.8201131120695,17.5682558394624,19.7923738023075,8.34567652211516
2019/5/2,2.413,8.05324006320749,10.1552634517935,10.6749129014573,17.7109552110036,19.8591041810777,8.05324006320749
2019/5/1,2.419,10.1430916870567,10.8159710379163,10.6680740174081,17.707566310727,19.8557891786941,10.1430916870567
2019/4/30,2.429,11.4162966450101,10.7916135552745,10.6565218999487,17.710297562163,19.8485277740754,11.4162966450101
2019/4/29,2.45,11.2371742653256,10.5961349846424,10.5141658710128,17.6797760466124,19.8334344905143,11.2371742653256
2019/4/26,2.434,11.0230898802147,10.4810669202812,11.8040051066836,17.6642778642851,19.8300462144407,11.0230898802147
2019/4/25,2.424,11.3938424338843,10.4448028266432,12.4579176025221,17.8032086521917,19.8289919884799,11.3938424338843
2019/4/24,2.419,11.7867954692003,11.2244251035351,12.5528809409751,17.8035728706041,19.9242667136498,11.7867954692003
2019/4/23,2.429,11.7310846778604,11.3350531863532,12.5537770243638,17.8280756740025,19.9532051175835,11.7310846778604
2019/4/22,2.442,11.6640434779303,11.2568433625817,12.5082266834369,17.8056407630021,19.9469945031743,11.6640434779303
2019/4/18,2.413,10.8964799433178,11.0706499136695,12.3183871910311,17.9592534860715,19.9262276305259,10.8964799433178
2019/4/17,2.424,10.9291188985701,11.0201363714893,12.3128056860269,17.9492334806507,19.9407164817364,10.9291188985701
2019/4/16,2.429,11.2357300196451,11.0186935631747,12.312908537923,17.947394817322,19.9396321626595,11.2357300196451
2019/4/15,2.422,11.4787422101911,10.9972783975355,12.30292455049,17.9452752708356,20.2236543678073,11.4787422101911
2019/4/12,2.424,11.4945600970047,11.1129669157038,12.42151728178,17.9446702354463,20.2721044402656,11.4945600970047
2019/4/11,2.411,11.412683258161,11.0438762783934,12.3783340207688,17.9435172874278,20.3207298402648,11.412683258161
2019/4/10,2.409,11.41081507765,11.801680016749,12.396447157904,17.9638074153908,20.4445929482666,11.41081507765
2019/4/9,2.421,11.9091401738773,11.7581735212366,12.3843303646884,17.9516556169091,20.4554918093073,11.9091401738773
2019/4/8,2.429,11.8599722561089,11.7416832418093,12.3671325048864,17.9420482052875,20.4520118329298,11.8599722561089
2019/4/5,2.437,11.8366388727831,11.8197071310795,13.3410561731163,17.9501557055311,20.5235662819413,11.8366388727831
2019/4/4,2.421,11.6371815602106,11.7485529289589,13.7882806403881,18.3324745430186,20.5264957885617,11.6371815602106
2019/4/3,2.424,11.7949370527886,11.8129442132292,14.2005462801653,18.3298076530557,20.5253193424179,11.7949370527886
2019/4/2,2.429,12.868789755528,11.8359661656178,14.2718326959967,18.3498481917002,20.5269683778038,12.868789755528
2019/4/1,2.432,12.9024289112461,11.8357451400225,15.9693106974535,18.3528386431786,20.5257962522688,12.9024289112461
2019/3/29,2.452,12.6132171159489,11.6799694933971,17.1586903772559,18.403582608281,20.5316105870208,12.6132171159489
2019/3/28,2.408,11.0310244849059,10.8583204952786,16.7785498227657,18.4431530110525,21.2215276717469,11.0310244849059
2019/3/27,2.447,9.62331483975766,12.0729165616524,16.4780750662159,18.2787947889219,21.2504167436044,9.62331483975766
2019/3/26,2.462,10.8111119699969,12.9797214442691,16.4325398210774,18.2559314279345,21.2504348048117,10.8111119699969
2019/3/25,2.457,11.2025460276224,13.139203524144,17.0619992811602,18.2620684425015,21.2511116611252,11.2025460276224
2019/3/22,2.483,10.5101039326354,12.9011286271,16.9885566900306,18.1836062349549,21.2221733069694,10.5101039326354
2019/3/21,2.462,10.6764594110013,12.7664904987859,17.0325163433895,18.3048079298317,21.5049925838172,10.6764594110013
2019/3/20,2.462,10.6755783102687,12.820626895186,17.0895125102541,18.3048830242816,21.5144826703191,10.6755783102687
2019/3/19,2.455,10.6608106180039,12.8598940846737,18.8308423500181,18.3374059931647,21.5292806212638,10.6608106180039
2019/3/18,2.452,10.661339967922,12.8729206870491,18.835311842624,18.3493244414618,21.5412465927488,10.661339967922
2019/3/15,2.465,10.752998888347,12.8030723557966,18.7906070185916,18.4319188208609,21.569190027016,10.752998888347
2019/3/14,2.447,10.5122170200471,12.8526002717581,19.1266511905581,18.8672459083358,23.442751466956,10.5122170200471
2019/3/13,2.429,11.6735953939773,12.7397365449586,19.1714699289321,18.8512206731236,23.4399686386579,11.6735953939773
2019/3/12,2.434,11.7012117429012,12.7580842983754,19.3291034398639,18.9621346731476,23.4497059993636,11.7012117429012
2019/3/11,2.445,11.5787983340126,12.7503791127688,19.4385845116177,18.9421095866908,23.5220694470454,11.5787983340126
2019/3/8,2.45,11.7900926826236,12.7401793915748,19.7499098351902,18.9561451235277,23.8640025103504,11.7900926826236
2019/3/7,2.424,11.3585655682415,13.9243704138437,19.7476891524036,18.925745082965,23.8838090589577,11.3585655682415
2019/3/6,2.426,11.4776727974702,14.6497967580637,19.7547069485675,18.9247656937371,23.9950915450855,11.4776727974702
2019/3/5,2.432,11.4901298201967,15.2248450210125,19.7441940715174,18.917102196544,24.0941760247556,11.4901298201967
2019/3/4,2.437,11.4536288687301,15.3216597864018,21.7303573837464,18.9115381234748,24.1047949076148,11.4536288687301
2019/3/1,2.452,11.2910962213833,17.5434010730266,21.6801634129818,18.8982102119055,24.0900941714046,11.2910962213833
2019/2/28,2.415,10.2062145661874,18.9531071840496,21.670436049994,18.807741427239,24.118715250515,10.2062145661874
